referenceNumber,model,type,customerFullName
1284,Challenger,Dodge,Leora Casiroli
1297,Tahoe,Chevrolet,Ramon Playfoot
#CONSIDER THIS AS COMMENT AND SKIP IT
2439,Sedona,Kia,Zacharias Crozier
2940,DTS,Cadillac,Orelee Syphus
1040,Wrangler,Jeep,Andi Gleadhall
2308,Econoline E350,Ford,Wes Averies
#CONSIDER THIS AS COMMENT AND SKIP IT
1441,Jetta,Volkswagen,Chanda Paulino
1076,Traverse,Chevrolet,Gwenneth Pude
1886,MPV,Mazda,Winifield Byars
1569,Vandura 1500,GMC,Berni Iceton
2422,Acadia,GMC,Sinclair Doul
2685,E-Class,Mercedes-Benz,Ruddie Matusevich
#CONSIDER THIS AS COMMENT AND SKIP IT
2081,Express 3500,Chevrolet,Sloan Celle
1343,Continental,Lincoln,Klarrisa Fauguel
2153,Aztek,Pontiac,Bobine Stollberger
1758,C30,Volvo,Perry Killelay
1651,Town & Country,Chrysler,Nikos Chellingworth
1382,9-3,Saab,Tommy Cristou
2509,New Beetle,Volkswagen,Elvis Sorbey
2558,Patriot,Jeep,Rocky Excell
1890,Rendezvous,Buick,Israel Northill
2778,Sienna,Toyota,Magdaia Skally
1043,MR2,Toyota,Selina Morteo
1349,Sportage,Kia,Robin Bayns
#CONSIDER THIS AS COMMENT AND SKIP IT
2679,Stratus,Dodge,Sofia Baynes
1527,Silverado 3500,Chevrolet,Adan Hymor
1588,Bonneville,Pontiac,Alanson Priddie
2687,Z4,BMW,Fidelio Binder
2443,E350,Ford,Georgy Itzcovichch
1504,Metro,Chevrolet,Barbette Camerana
2983,Insight,Honda,Haywood Glen
1830,Savana 3500,GMC,Fanni Fay
1127,XL-7,Suzuki,Roland Quartley
2356,Sonata,Hyundai,Kaylee Penniall
1171,ES,Lexus,Ellissa Ducker
2441,Safari,GMC,Claude Nilles
2661,Range Rover,Land Rover,Gerik Dreng
2242,Charger,Dodge,Olympia Larmuth
1416,Allroad,Audi,Gay Abrahamoff
2831,F150,Ford,Feliks Brehault
1735,Mirage,Mitsubishi,Doug Elphick
1823,LS,Lexus,Carmen Flukes
1528,XJ,Jaguar,Kelsy Vonderdell
2579,A4,Audi,Trace Yuryshev
2753,GS,Lexus,Hinze Muddiman
2698,Galant,Mitsubishi,Margeaux Hillhouse
2114,A8,Audi,Joannes Cornelis
2848,XC90,Volvo,Bili Walton
2022,Accord,Honda,Georges Downham
2587,Solara,Toyota,Cherie Sabatini
2680,Astro,Chevrolet,Alfons Denacamp
1294,G35,Infiniti,Brien Leggate
1039,928,Porsche,Delbert Dericut
1464,Coupe,Maserati,Florence Skirvane
1649,Sierra 1500,GMC,Cornell Koenen
2361,Supra,Toyota,Giselle McCarrick
2830,9-2X,Saab,Sinclare Moulden
2954,SL-Class,Mercedes-Benz,Clio Marran
2894,Prizm,Chevrolet,Stoddard Yearns
1778,B-Series,Mazda,Wenda Warburton
1980,Bronco II,Ford,Eartha Daudray
1470,3500 Club Coupe,GMC,Gabrielle Shorthill
1432,X6,BMW,Leticia Peascod
2231,Insight,Honda,Melanie McKinna
1953,6 Series,BMW,Maynord Gierth
2287,1500,Chevrolet,Mitchell Bernhart
2687,Freelander,Land Rover,Augusto Sackes
1464,SC,Lexus,Maynord Cameli
